Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Washington Redskins,16,337,581,58.0,4349,24,4.1,17,2.9,80,7.7,7.2,13.3,271.8,84.1,21,127,7.2,6.8,3.5,3,3
2,San Francisco 49ers,16,339,483,70.2,4302,35,7.2,11,2.3,95,9.5,9.9,13.5,268.9,114.8,45,282,8.1,8.5,8.5,4,6
3,Miami Dolphins,16,331,601,55.1,4216,26,4.3,25,4.2,78,7.2,6.2,13.0,263.5,74.9,10,86,6.9,5.9,1.6,2,4
4,Los Angeles Rams,16,308,523,58.9,4133,29,5.5,18,3.4,78,8.4,7.9,14.2,258.3,90.1,32,236,7.4,7.0,5.8,5,5
5,Green Bay Packers,16,354,600,59.0,4048,27,4.5,20,3.3,79,7.2,6.6,12.2,253.0,82.4,48,277,6.2,5.7,7.4,5,7
6,New England Patriots,16,302,610,49.5,3707,17,2.8,27,4.4,65,6.5,5.1,13.2,231.7,61.3,34,265,5.8,4.4,5.3,3,3
7,Cincinnati Bengals,16,288,513,56.1,3618,32,6.2,13,2.5,74,7.7,7.8,13.7,226.1,91.2,41,332,6.5,6.6,7.4,0,1
8,Buffalo Bills,16,281,478,58.8,3589,32,6.7,20,4.2,78,8.0,7.5,13.6,224.3,89.3,35,242,7.0,6.5,6.8,3,3
9,Atlanta Falcons,16,312,578,54.0,3514,17,2.9,12,2.1,72,6.8,6.4,12.5,219.6,76.4,51,389,5.6,5.3,8.1,3,3
10,Houston Oilers,16,295,496,59.5,3499,23,4.6,16,3.2,55,7.6,7.1,12.8,218.7,85.5,37,287,6.6,6.1,6.9,2,3
11,Cleveland Browns,16,309,529,58.4,3433,20,3.8,15,2.8,97,6.9,6.3,11.7,214.6,80.1,34,192,6.1,5.6,6.0,2,4
12,New York Jets,16,338,570,59.3,3415,14,2.5,24,4.2,63,6.8,5.4,11.5,213.4,70.6,62,477,5.4,4.1,9.8,3,3
13,New Orleans Saints,16,284,461,61.6,3380,23,5.0,19,4.1,54,7.9,7.1,12.9,211.3,85.9,36,271,6.8,6.0,7.2,2,4
14,Tampa Bay Buccaneers,16,302,570,53.0,3335,23,4.0,28,4.9,78,6.4,5.0,12.1,208.4,66.0,43,331,5.4,4.1,7.0,2,2
15,Phoenix Cardinals,16,279,523,53.3,3280,17,3.3,30,5.7,77,7.0,5.1,13.1,205.0,62.6,56,379,5.7,3.9,9.7,2,2
16,Seattle Seahawks,16,316,559,56.5,3204,21,3.8,23,4.1,60,6.4,5.3,11.3,200.3,71.3,46,379,5.3,4.3,7.6,3,4
17,Minnesota Vikings,16,272,499,54.5,3189,17,3.4,19,3.8,50,6.9,5.9,12.8,199.3,72.0,40,279,5.9,5.0,7.4,1,0
18,Philadelphia Eagles,16,294,538,54.6,3112,23,4.3,16,3.0,66,6.4,5.9,11.8,194.5,76.2,45,343,5.3,4.9,7.7,4,5
19,Chicago Bears,16,267,484,55.2,3088,21,4.3,25,5.2,79,6.7,5.3,12.2,193.0,69.1,28,174,6.0,4.7,5.5,1,1
20,New York Giants,16,248,444,55.9,3074,17,3.8,16,3.6,62,7.6,6.7,13.5,192.1,77.9,46,281,6.3,5.5,9.4,2,2
21,Kansas City Chiefs,16,259,435,59.5,3038,14,3.2,23,5.3,50,7.4,5.7,12.4,189.9,71.2,23,182,6.6,5.0,5.0,3,3
22,San Diego Chargers,16,270,515,52.4,3037,15,2.9,19,3.7,69,6.4,5.3,12.2,189.8,66.7,39,254,5.5,4.5,7.0,4,5
23,Denver Broncos,16,256,474,54.0,3001,21,4.4,20,4.2,69,7.1,6.1,13.1,187.6,73.7,43,351,5.8,4.9,8.3,3,3
24,Indianapolis Colts,16,253,493,51.3,2960,18,3.7,17,3.4,82,6.4,5.5,12.4,185.0,69.1,28,174,5.7,4.9,5.4,5,3
25,Los Angeles Raiders,16,201,414,48.6,2951,21,5.1,22,5.3,84,7.9,6.5,16.3,184.4,70.3,44,326,6.4,5.2,9.6,2,3
26,Detroit Lions,16,229,450,50.9,2939,11,2.4,24,5.3,75,7.3,5.4,14.3,183.7,60.8,57,343,5.8,4.1,11.2,1,1
27,Dallas Cowboys,16,266,513,51.9,2885,14,2.7,27,5.3,75,6.1,4.3,11.7,180.3,57.8,30,239,5.3,3.6,5.5,,
28,Pittsburgh Steelers,16,210,404,52.0,2178,10,2.5,13,3.2,79,6.6,5.6,12.7,136.1,67.7,51,484,4.8,3.9,11.2,2,2
,Avg Team,,285.7,512.1,55.8,3374.1,20.8,4.1,20.0,3.9,72,7.1,6.2,12.8,210.9,73.3,39.5,285.1,6.12,5.2,7.2,2.6,3.0
,League Total,,8000,14338,55.8,94474,582,4.1,559,3.9,97,7.1,6.2,12.8,210.9,73.3,1105,7982,6.12,5.2,7.2,72,85
,Avg Tm/G,,17.9,32.0,55.8,210.9,1.3,4.1,1.2,3.9,,7.1,6.2,12.8,210.9,73.3,2.5,17.8,6.12,5.2,7.2,,
